CRN,Campus Description,Course Title,Subject Course,Faculty Name,Course Description,Term,Begin Time,End Time,Days,Prerequisites
30305,Online,Professional Development for Khoury Co-op,CS1210,"Hill, Victoria","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1335,1440,Monday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
31565,Online,Professional Development for Khoury Co-op,CS1210,"Dell, Sara","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1335,1440,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
31721,Online,Professional Development for Khoury Co-op,CS1210,"Rosenberg, Lauren","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1335,1440,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
32214,Online,Professional Development for Khoury Co-op,CS1210,"Abdulle, Anis","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1335,1440,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
32831,Online,Professional Development for Khoury Co-op,CS1210,"Ballantyne, Jordan","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1525,1630,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
33264,Online,Professional Development for Khoury Co-op,CS1210,"Wilkerson, Heather","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1525,1630,Tuesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
33607,Online,Professional Development for Khoury Co-op,CS1210,"Haycook, Charles","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1335,1440,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
33608,Online,Professional Development for Khoury Co-op,CS1210,"Starzec, Amy","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1145,1250,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
34156,Online,Professional Development for Khoury Co-op,CS1210,"Mauristhene, Ernest","Continues the preparation of students for careers in the computing and information fields by discussing co-op and co-op processes. Offers students an opportunity to prepare a professional resumé; practice proper interviewing techniques; explore current job opportunities; learn how to engage in the job and referral process; and to understand co-op policies, procedures, and expectations. Discusses professional behavior and ethical issues in the workplace.",Spring 2025,1145,1250,Wednesday,"[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}]"
34159,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,1145,1325,Friday,[]
34160,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,1145,1325,Friday,[]
32105,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,1335,1515,Friday,[]
32106,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,1335,1515,Friday,[]
32832,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,1525,1705,Friday,[]
34158,Boston,Fundamentals of Computer Science 1,CS2500,"Park, John","Introduces the fundamental ideas of computing and the principles of programming. Discusses a systematic approach to word problems, including analytic reading, synthesis, goal setting, planning, plan execution, and testing. Presents several models of computing, starting from nothing more than expression evaluation in the spirit of high school algebra. Assumes no prior programming experience; therefore, suitable for first-year students—majors, and nonmajors alike—who wish to explore the intellectual ideas in the discipline.",Spring 2025,0915,1020,"Monday, Wednesday, Thursday",[]
31296,Boston,Fundamentals of Computer Science 1,CS2500,"Park, John","Introduces the fundamental ideas of computing and the principles of programming. Discusses a systematic approach to word problems, including analytic reading, synthesis, goal setting, planning, plan execution, and testing. Presents several models of computing, starting from nothing more than expression evaluation in the spirit of high school algebra. Assumes no prior programming experience; therefore, suitable for first-year students—majors, and nonmajors alike—who wish to explore the intellectual ideas in the discipline.",Spring 2025,1030,1135,"Monday, Wednesday, Thursday",[]
39789,Boston,Fundamentals of Computer Science 1,CS2500,"Park, John","Introduces the fundamental ideas of computing and the principles of programming. Discusses a systematic approach to word problems, including analytic reading, synthesis, goal setting, planning, plan execution, and testing. Presents several models of computing, starting from nothing more than expression evaluation in the spirit of high school algebra. Assumes no prior programming experience; therefore, suitable for first-year students—majors, and nonmajors alike—who wish to explore the intellectual ideas in the discipline.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday",[]
30215,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,0800,0940,Friday,[]
31220,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,0950,1130,Friday,[]
34161,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,1525,1705,Friday,[]
39790,Boston,Lab for CS 2500,CS2501,"Park, John",Accompanies CS 2500. Covers topics from the course through various experiments.,Spring 2025,0800,0940,Friday,[]
30194,Boston,Fundamentals of Computer Science 2,CS2510,"Lerner, Benjamin","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1030,1135,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
30193,Boston,Fundamentals of Computer Science 2,CS2510,"Razzaq, Leena","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,0915,1020,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
31825,Boston,Fundamentals of Computer Science 2,CS2510,"Sloan, Rose","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1030,1135,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
34162,Boston,Fundamentals of Computer Science 2,CS2510,"Razzaq, Leena","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1030,1135,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
31975,Boston,Fundamentals of Computer Science 2,CS2510,"Sloan, Rose","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
37169,"Oakland, CA",Fundamentals of Computer Science 2,CS2510,"Bhalerao, Rasika","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1035,1140,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
37121,"Oakland, CA",Fundamentals of Computer Science 2,CS2510,"Spertus, Ellen","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1035,1140,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
37167,"Oakland, CA",Fundamentals of Computer Science 2,CS2510,"Spertus, Ellen","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
37168,"Oakland, CA",Fundamentals of Computer Science 2,CS2510,"Bhalerao, Rasika","Continues CS 2500. Examines object-oriented programming and associated algorithms using more complex data structures as the focus. Discusses nested structures and nonlinear structures including hash tables, trees, and graphs. Emphasizes abstraction, encapsulation, inheritance, polymorphism, recursion, and object-oriented design patterns. Applies these ideas to sample applications that illustrate the breadth of computer science.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2500'}]"
34165,Boston,Lab for CS 2510,CS2511,"Lerner, Benjamin",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,0950,1130,Friday,[]
30188,Boston,Lab for CS 2510,CS2511,"Lerner, Benjamin",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1145,1325,Friday,[]
34166,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,0800,0940,Tuesday,[]
30989,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,0800,0940,Tuesday,[]
34167,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1145,1325,Tuesday,[]
34168,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1335,1515,Tuesday,[]
33265,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1335,1515,Tuesday,[]
34169,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1335,1515,Tuesday,[]
34171,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1525,1705,Tuesday,[]
34172,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1715,1855,Tuesday,[]
37175,"Oakland, CA",Lab for CS 2510,CS2511,"Bhalerao, Rasika",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1500,1640,Thursday,[]
37176,"Oakland, CA",Lab for CS 2510,CS2511,"Bhalerao, Rasika",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1650,1830,Thursday,[]
37177,"Oakland, CA",Lab for CS 2510,CS2511,"Bhalerao, Rasika",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1035,1215,Friday,[]
37178,"Oakland, CA",Lab for CS 2510,CS2511,"Bhalerao, Rasika",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1035,1215,Friday,[]
31566,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,0950,1130,Tuesday,[]
31567,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,0950,1130,Tuesday,[]
31976,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,0950,1130,Tuesday,[]
31977,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1145,1325,Tuesday,[]
32217,Boston,Lab for CS 2510,CS2511,"Razzaq, Leena",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1145,1325,Tuesday,[]
37179,"Oakland, CA",Lab for CS 2510,CS2511,"Bhalerao, Rasika",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1225,1405,Friday,[]
37180,"Oakland, CA",Lab for CS 2510,CS2511,"Bhalerao, Rasika",Accompanies CS 2510. Covers topics from the course through various experiments.,Spring 2025,1225,1405,Friday,[]
35411,Boston,Logic and Computation,CS2800,"Patterson, Daniel","Introduces formal logic and its connections to computer and information science. Offers an opportunity to learn to translate statements about the behavior of computer programs into logical claims and to gain the ability to prove such assertions both by hand and using automated tools. Considers approaches to proving termination, correctness, and safety for programs. Discusses notations used in logic, propositional and first order logic, logical inference, mathematical induction, and structural induction. Introduces the use of logic for modeling the range of artifacts and phenomena that arise in computer and information science.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '1800'}, {'and_or': 'Or', 'subject': 'Mathematics', 'course_number': '1365'}, {'and_or': 'Or', 'subject': 'Mathematics', 'course_number': '2310'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '2500'}]"
39791,Boston,Logic and Computation,CS2800,"Vesely, Ferdinand","Introduces formal logic and its connections to computer and information science. Offers an opportunity to learn to translate statements about the behavior of computer programs into logical claims and to gain the ability to prove such assertions both by hand and using automated tools. Considers approaches to proving termination, correctness, and safety for programs. Discusses notations used in logic, propositional and first order logic, logical inference, mathematical induction, and structural induction. Introduces the use of logic for modeling the range of artifacts and phenomena that arise in computer and information science.",Spring 2025,1030,1135,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '1800'}, {'and_or': 'Or', 'subject': 'Mathematics', 'course_number': '1365'}, {'and_or': 'Or', 'subject': 'Mathematics', 'course_number': '2310'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '2500'}]"
39792,Boston,Logic and Computation,CS2800,"Gancher, Joshua","Introduces formal logic and its connections to computer and information science. Offers an opportunity to learn to translate statements about the behavior of computer programs into logical claims and to gain the ability to prove such assertions both by hand and using automated tools. Considers approaches to proving termination, correctness, and safety for programs. Discusses notations used in logic, propositional and first order logic, logical inference, mathematical induction, and structural induction. Introduces the use of logic for modeling the range of artifacts and phenomena that arise in computer and information science.",Spring 2025,1635,1740,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '1800'}, {'and_or': 'Or', 'subject': 'Mathematics', 'course_number': '1365'}, {'and_or': 'Or', 'subject': 'Mathematics', 'course_number': '2310'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '2500'}]"
32496,Boston,Algorithms and Data,CS3000,"Nguyen, Huy","Introduces the basic principles and techniques for the design, analysis, and implementation of efficient algorithms and data representations. Discusses asymptotic analysis and formal methods for establishing the correctness of algorithms. Considers divide-and-conquer algorithms, graph traversal algorithms, and optimization techniques. Introduces information theory and covers the fundamental structures for representing data. Examines flat and hierarchical representations, dynamic data representations, and data compression. Concludes with a discussion of the relationship of the topics in this course to complexity theory and the notion of the hardness of problems.",Spring 2025,0950,1130,"Tuesday, Friday","[{'and_or': '', 'subject': '', 'course_number': ''}, {'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '1800'}, {'and_or': 'Or', 'subject': 'Electrical and Comp Engineerng', 'course_number': '2160'}]"
34176,Boston,Algorithms and Data,CS3000,"Varma, Akshar","Introduces the basic principles and techniques for the design, analysis, and implementation of efficient algorithms and data representations. Discusses asymptotic analysis and formal methods for establishing the correctness of algorithms. Considers divide-and-conquer algorithms, graph traversal algorithms, and optimization techniques. Introduces information theory and covers the fundamental structures for representing data. Examines flat and hierarchical representations, dynamic data representations, and data compression. Concludes with a discussion of the relationship of the topics in this course to complexity theory and the notion of the hardness of problems.",Spring 2025,1335,1515,"Tuesday, Friday","[{'and_or': '', 'subject': '', 'course_number': ''}, {'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '1800'}, {'and_or': 'Or', 'subject': 'Electrical and Comp Engineerng', 'course_number': '2160'}]"
41607,Boston,Algorithms and Data,CS3000,"Sundaram, Ravi","Introduces the basic principles and techniques for the design, analysis, and implementation of efficient algorithms and data representations. Discusses asymptotic analysis and formal methods for establishing the correctness of algorithms. Considers divide-and-conquer algorithms, graph traversal algorithms, and optimization techniques. Introduces information theory and covers the fundamental structures for representing data. Examines flat and hierarchical representations, dynamic data representations, and data compression. Concludes with a discussion of the relationship of the topics in this course to complexity theory and the notion of the hardness of problems.",Spring 2025,0800,0940,"Tuesday, Friday","[{'and_or': '', 'subject': '', 'course_number': ''}, {'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Data Science', 'course_number': '2500'}, {'and_or': 'And', 'subject': 'Computer Science', 'course_number': '1800'}, {'and_or': 'Or', 'subject': 'Electrical and Comp Engineerng', 'course_number': '2160'}]"
33266,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,0800,0905,Thursday,[]
33267,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,0800,0905,Thursday,[]
33268,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,0915,1020,Thursday,[]
33269,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,0915,1020,Thursday,[]
33270,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,1030,1135,Thursday,[]
33271,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,1030,1135,Thursday,[]
35413,Boston,Recitation for CS 3000,CS3001,"Nguyen, Huy",Accompanies CS 3000. Provides students with additional opportunities to ask questions and engage with course material.,Spring 2025,1145,1250,Thursday,[]
31724,Boston,Object-Oriented Design,CS3500,"Nunez, Lucia","Presents a comparative approach to object-oriented programming and design. Discusses the concepts of object, class, meta-class, message, method, inheritance, and genericity. Reviews forms of polymorphism in object-oriented languages. Contrasts the use of inheritance and composition as dual techniques for software reuse: forwarding vs. delegation and subclassing vs. subtyping. Fosters a deeper understanding of the principles of object-oriented programming and design including software components, object-oriented design patterns, and the use of graphical design notations such as UML (unified modeling language). Basic concepts in object-oriented design are illustrated with case studies in application frameworks and by writing programs in one or more object-oriented languages.",Spring 2025,1335,1440,"Monday, Wednesday, Thursday","[{'and_or': '', 'subject': 'Computer Science', 'course_number': '2510'}, {'and_or': 'Or', 'subject': 'Electrical and Comp Engineerng', 'course_number': '2560'}]"
34177,Boston,Lab for CS 3500,CS3501,"Nunez, Lucia",Accompanies CS 3500. Covers topics from the course and provides students with additional opportunities to engage with course material.,Spring 2025,0800,0940,Monday,[]
34178,Boston,Lab for CS 3500,CS3501,"Nunez, Lucia",Accompanies CS 3500. Covers topics from the course and provides students with additional opportunities to engage with course material.,Spring 2025,0800,0940,Monday,[]
34179,Boston,Lab for CS 3500,CS3501,"Nunez, Lucia",Accompanies CS 3500. Covers topics from the course and provides students with additional opportunities to engage with course material.,Spring 2025,0950,1130,Monday,[]
34180,Boston,Lab for CS 3500,CS3501,"Nunez, Lucia",Accompanies CS 3500. Covers topics from the course and provides students with additional opportunities to engage with course material.,Spring 2025,1525,1705,Monday,[]
