CRN,Course Name,Instructor,Subject,Course Number,Question,Review
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,Nothing that i could think of
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What could the instructor do to make this course better?,The instructor could enhance the course by incorporating more examples.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"This course is very dense - there is a TON of material to work through, and it is not necessarily intellectually easy stuff either. I think any instructor would struggle to cram all of this into a single semester, and"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"Prof. Valcourt has a very clear and comprehensive way of describing difficult content. While this course was intellectually challenging, I never remained stuck for too long and I learned a lot along the way."
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,Scott's passion makes it fun. There were topics that I thought I would never have any interest in but do feel curious about now because of his enthusiasm. He is very welcoming and generally creates a
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,None
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,The instructor explains things well but could improve by using more examples and slowing down a bit.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,Excellent 
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,very good 
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,Videos are always hit or miss for me. I thought these were a good collection for the course. 
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,"The video resources were better in 5008 than 5004, but they were still a slog. I found the videos that I could code along with way more useful than those that were just explaining concepts."
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,"I'm currently living in multiple places and spending lots of time in different parts of Maine. For this reason, it's been difficult to attend in person although I try to as often as I can. Often with hybrid classes, it's"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,I was mostly present in person. 
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,"The teacher is very good, very nice and the lessons are great! "
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,The class atmosphere is very relaxed and the professor is very friendly 
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,Please comment on your experience of the online course environment in the open-ended text box.,The online course environment is easy to use and helps me learn effectively. 
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,study more
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,"Spend less time worrying about my IDE and just use VSCode! I wasted a LOT of time going down VIM rabbit holes, which while interesting, were largely useless. Similarly, my time management was absolutely"
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,More time to read additional content resources and keep up with the module videos.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,Maybe a little C syntax in advance.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,Practice more coding with C or C instead of Python when going through Leetcode Questions
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,It is particularly benefit for doing leetcode problems in the future.
35056,"Data Str, Algo App in CmpSys (Spring 2024)","Valcourt, Scott",CS,5008,What I could have done to make this course better for myself.,I can utilize the additional resources provided to enhance my understanding of the course material.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,"Lino is a nice person to work with, I totally agree that and I consider him like friends or colleagues. He is warm and kind."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,They are extremely helpful and friendly.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,lino is humorous
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,Lino is very kind and considerate!
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,The instructor was enthusiastic and willing to help.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,"1. Lino is a very nice person, but I won't say I learnt much from this course, we only covered the basic ideas during the lecture, which are far more simpler than the module materials. And it's hard to say that I"
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,No
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,"Very knowledgeable, clear that he knows his stuff."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What were the strengths of this course and/or this instructor?,"Lino is direct and helpful, he is not verbose in terms of explanation, but he is always on the point and makes it clear."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,"It would be better if we could have something other than the outline and bullet points from the online modules. Like breaking down some difficult part into small pieces, or use some simple examples to"
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,"Teach more stuff not covered by the module videos. Since we've already watched those videos, there is no need to repeat those things. Also, please share more industrial experiences, for example, when did"
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,"i hope lino can provide the ""model answer"" of each assignments."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,Reduce the number of homework and labs.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,"Provide more detailed rubric and instructions for the homeworks, labs and final projects."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,better assignment description.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,More interactive activities with the class to really help us understand the material.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What could the instructor do to make this course better?,Cannot think about anything at this moment
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"The class exercises are good, but few students pay attention to them so the overall experience does not meet the expectation. I do not think there would be much to do for the instructor, but this problem"
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,Lino is quite easygoing and considers students' feelings a lot.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,no. wordy.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,"Some modules of the online courses are not very organized. In specific weeks, there are too much content and many chapters in one module. In other weeks, there are just a few chapters and we could"
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,Some videos on Canvas do not explain things well. I hope those videos can be replaced. 
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,"The online materials of this course is quite lengthy and boring, it's really hard to follow. The instructor JohnPark love to mix metaphors that don't really help understanding in his explanation. "
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,"Terrible, trash assginment instruction which leading to hundreds of hours wasting on understaing prof's purpose. "
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,It was learning through videos online along with quizzes. The videos were a bit long but the descriptions underneath were pretty good. 
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,"Some of the online classes are not understandable, thinking about module 4. "
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,"The online course material is badly organized. It is not helpful at all, only making the learning experience terrible. "
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,Please comment on your experience of the online course environment in the open-ended text box.,Online materials are not perfectly well-organized. Some videos are too long and difficult to follow 
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,More information about the OOD structure.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,read all the materials provided and schedule meetings during office hours
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,Make a schedule for daily study.
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,"Self-learn the topic covered in this course before this semester, and using other online materials other than the module videos."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,nope
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,"Instead of watching the videos, I could've just read the descriptions underneath. Often times, I found the videos quite lengthy as I could've read the descriptions in a much shorter time."
40380,Object-Oriented Design (Spring 2024),"Coria Mendoza, Lino",CS,5004,What I could have done to make this course better for myself.,Read more extra resources in Java
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,Laney is probably the best professor when it comes to explaining difficult materials so that students can understand.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,Passion
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,The teaching of concepts was usually really good
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"Laney was enthusiastic, friendly, helpful, and full of energy. She made a very difficult course a lot of fun."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"Dr. Strange is a lovely human being, and I truly enjoyed having her as my instructor. She is passionate in what she teaches, and is fully invested into us as students. She's reassuring, and the kind of instructor"
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"Great instructor, very enthusiastic"
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,Laney was one of the best teachers I have ever had. She explained new topics very well and with patience. She always made sure that everyone in the class understood what se was saying.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,Professor taught each and every concepts well and even the course pacing was good.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,Great teacher/personality.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"She takes her time when explaining and doesn't move on unless everyone gets it, and is very responsive to questions both inside and outside of class."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,I think the homework was structured in a way that really made us think deeply about the problem. Even though the questions were not easy i learned a lot as a result and have a great understanding.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,1. Clear logic.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,I really enjoyed Laney's teaching style. I like how she goes over the main ideas of a topic and then delves into multiple examples to really clarify the topic.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"Honestly everything. Teaching style, ethusiasm, and just overall knowledge. Elena was extrememly knowledgeable and great as a professor."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,Professor Laney was always on time and open to answering all questions I had throughout the semester.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,The professor was amazing. She was very prepared for every lecture and explained the material clearly. She was energetic and engaged during lectures. Useful homework assignments that challenged
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"Laney broke down the concepts very clearly using simple real life examples that made topics easy to digest and understand! As someone who is intimidated by math, she made me realize that math can be"
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,NA
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"The professor gave excellent and vivid lectures, and the learning process was enjoyable."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What were the strengths of this course and/or this instructor?,"Laney can explain everything very clearly, step by step. This course introduces basic math for CS, and covers many topics with their basic ideas."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What could the instructor do to make this course better?,Some topic in homework was not discussed in the lecture.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What could the instructor do to make this course better?,Easier homeworks lol. The homeworks sometimes felt like they were really difficult compared to what we were learning in class.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What could the instructor do to make this course better?,"Professor Laney was amazing, just continue doing what she is doing."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What could the instructor do to make this course better?,Nothing. Its great. Maybe earlier lectures! Its hard to pay attention at 9pm at night.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What could the instructor do to make this course better?,"I believe she's doing a fantastic job, but perhaps incorporating examples in class that closely align with the homework problems could enhance students' understanding of how to tackle the more challenging"
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What could the instructor do to make this course better?,NA
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,Passion
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"Again, Dr. Strange is a STRONG instructor, who is a great professor for this very intellectually demanding course. Other than not having tutors, I truly feel that this course was enjoyable despite how hard it"
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,Some more practice problems like the practice problems for the exam would be useful. The ICAs are too easy and dont provoke us to really learn a new concept. Harder practice problems with solutions
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,I would like to think that everyone in this course felt safe and encouraged to ask questions or participate in discussions. It was an inclusive learning environment.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,-
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,Really open to any questions.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,They did a great job explaining things. I learned a lot!
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,N/A for the level of the course it was honestly superb teaching and I probably would have not passed the course if it wasn't for Elena's amazing teaching.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,Professor Laney was amazing and always listened to students questions and answered them in a timely and respectful manner.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"I can't emphasize enough how great the professor was. She explained concepts so well, provided outstanding examples, kept students engaged thru hands-on examples. Provided plenty of online"
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,-
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,NA
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"The lectures were well organized, with many vivid examples, and the assignments are set reasonably to make students grasp the key points."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,great. 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,"Class was 99% in person, but Piazza for out-of-class stuff was great. "
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,Great course website. 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,OVERALL THE BEST MATH CLASS IVE TAKEN THUS FAR IN MY COLLEGE CAREER 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,Professor Laney was always open to answering any questions that I had. 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,We didn't have asynchronous classes so I cannot comment on this 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,I love professor Laney 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,Please comment on your experience of the online course environment in the open-ended text box.,the course was great. 
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Be more self-displine
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,I think I could have spent a bit more time on a couple homework’s
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Not go on vacation during it. Ask for help more regularly.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,"I feel that I could have done a better job on our homework. Even though I did not fail any of the homework, I certainly could have gotten better grades on them in the beginning of the semester."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Studied longer and more often
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,I am satisfied with what I have done.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Study more.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,I could have practiced more
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,-
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Continued studying a particular unit or module even after we moved on. Found myself having to do a lot of repeat review after getting rusty on stuff.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,"i should have focused on keeping up with the homework, but due to my work schedule i would sometimes let it get ahead of me and opt for turning in the homework late."
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,giving myself more time to get through the homework and also attend more TA hours.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,I wish I had utilised my time appropriately to do my homework and submit on time
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Nothing.
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,Having consistent study sessions all throughout the semester
39593,Discrete Structures (Spring 2024),"Strange, Elena",CS,5002,What I could have done to make this course better for myself.,NA
39704,Recitation For CS 5010 (Spring 2024),"Cheng, Zhuoqun",CS,5011,What were the strengths of this course and/or this instructor?,It helps you get a deeper understanding of some key concepts in object oriented programming.
39704,Recitation For CS 5010 (Spring 2024),"Cheng, Zhuoqun",CS,5011,Please comment on your experience of the online course environment in the open-ended text box.,great 
39704,Recitation For CS 5010 (Spring 2024),"Cheng, Zhuoqun",CS,5011,What I could have done to make this course better for myself.,Start the lab earilier.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,"Enthusiasm, very knowledgable on the subject, very skilled, very passionate about teaching, in class coding and fixing bugs"
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,Amazing humor. Very knowledgable. Amazing programming skills. Live coding was very helpful.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,very good
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,TA and professor were open to help. The project were the main way of learning in this course.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,"Instructor is very passionate about course and making it useful and practical. He makes you feel like he cares for your personal and career success which is invaluable in a professor, and the project based"
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,The course/ professor provides a very efficient and interactive way to encourage student to dive into the class which makes me always absorbing a lot in class.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,Good communication
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,humur
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,"Very funny, enthusiastic, and knowledgeable. I love his style as a person"
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,John's course is very informative and I can learn a lot. He's a passionate professor who really want his students to learn something.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,Useful and interesting.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,One of the biggest strengths of this course was the requirement to finish a lot of projects. I learnt the most from struggling and trying to finish the project. I felt very accomplished when I completed the
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,excellent
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,The professor was very accommodating with deadlines and giving us adequate time to understand specific topics. The course is content-heavy so having more time to understand/implement concepts
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,The knowledge that professor has and the enthusiasm as well makes you to learn more.
21104,,"Guerra Gomez, John Alexis",CS,5610,What were the strengths of this course and/or this instructor?,Live coding
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,"Use class time better, I feel like only the first 20 and the last 40 minutes of class time were useful, we spent a lot of time sidetracked on non-important things"
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,Make the lottery more fair I guess. Some people didnt get a turn for 3-4 classes.
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,"when doing the living coding, slow down a little bit"
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,"Everything was good, but sometimes as a beginner coder I felt like I was expected to know so much so fast."
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,"Sometimes the strengths come to the cost of organization. I enjoyed the idea of the recorded mid term and the lottery, but the lack of communication over the mid term made scheduling stressful. I also"
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,I think the professor really did a great work already
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,Make deadlines longer and make some changes to make up for the project.
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,"Sometimes, the class can be quite stressful for introverted individuals like myself."
21104,,"Guerra Gomez, John Alexis",CS,5610,What could the instructor do to make this course better?,He is a bit unorganized
